FIRST_NAME,LAST_NAME,DOB,STATEROOM,CABIN_TYPE,FULL NAME
JOE,BIDEN,1942-11-20,8911,SUITE,JOE BIDEN
BARACK,OBAMA,1961-08-04,8215,SUITE,BARACK OBAMA
JOHN,SMITH,1985-03-12,1234,SUITE,JOHN SMITH
EMMA,JOHNSON,1992-08-25,5678,BALCONY,EMMA JOHNSON
MICHAEL,ANDERSON,1978-11-03,9012,INSIDE,MICHAEL ANDERSON
SARAH,DAVIS,1989-05-17,3456,OUTSIDE,SARAH DAVIS
CHRISTOPHER,WILSON,1982-02-28,7890,SUITE,CHRISTOPHER WILSON
OLIVIA,MARTINEZ,1995-07-08,2345,BALCONY,OLIVIA MARTINEZ
DANIEL,THOMPSON,1976-12-19,6789,INSIDE,DANIEL THOMPSON
EMILY,RODRIGUEZ,1991-09-30,1234,OUTSIDE,EMILY RODRIGUEZ
MATTHEW,THOMAS,1984-04-14,4567,SUITE,MATTHEW THOMAS
SOPHIA,CLARK,1998-01-07,8901,BALCONY,SOPHIA CLARK
DAVID,WALKER,1977-06-21,5432,INSIDE,DAVID WALKER
AVA,LEWIS,1993-10-11,9876,OUTSIDE,AVA LEWIS
JAMES,LEE,1986-09-02,3210,SUITE,JAMES LEE
MIA,SCOTT,1990-12-26,7654,BALCONY,MIA SCOTT
BENJAMIN,YOUNG,1979-04-09,1098,INSIDE,BENJAMIN YOUNG
CHARLOTTE,HILL,1994-11-01,5432,OUTSIDE,CHARLOTTE HILL
ALEXANDER,KING,1983-07-15,9876,SUITE,ALEXANDER KING
HARPER,TURNER,1996-03-29,3210,BALCONY,HARPER TURNER
DANIEL ,GUTIERREZ,1990-07-07,5692,SUITE,DANIEL  GUTIERREZ
